[fill] the	ADJ	ENVIRONMENT	[FILL] environment is	QUALIFIER	[FILL] is/ has	VALUE	[FILL] in	DIMENSION/ATTRIBUTE	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	[FILL] from	WHY	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
the		arctic	environment is			white	in	color				from being	covered in snow					7e81-184a-3132-e57b
the		arctic 	environment is			cold	in 	temperature				from being at a	northern lattitude		below 0 degrees celsius during most of the year			346e-7cc2-f910-5df4
a		desert	environment is			low	in	availability of water										38b2-29c9-81cd-f86a
a		desert	environment is			dry												0e2f-97e3-fb4f-3886
		cold	environments are	usually		white	in	color				from being	covered in snow					6884-ef70-63e5-81fa
the		arctic	environment is			covered	in	snow										2fee-d74c-f33e-6a98
a		desert	environment has			low		rainfall										dda3-c20d-4cc2-2323
a		desert	environment	usually	has	a lot	of	sunlight										40ba-dc8a-ed49-44d6
a		desert	environment is	usually		hot	in	temperature										de2e-ed32-b721-3787
a	dense	forest	environment is	often		dark	in	color										f9e1-ca2c-699a-ab24
a		forest	environment is	often		green	in	color										928d-a3e5-933a-978b
a		forest	environment receives			more		rainfall						than a desert				d446-ee74-8b90-0757
a		grassland	environment receives			more		rainfall						than a desert				6d74-209a-d964-4666
a		tropical	environment	usually	has	warm		temperatures										0a7a-e005-a69f-d3e8
the		tundra	is			very cold	in	temperature 										569d-9ee4-d775-7874
